id,date,int_lang,area,type,cell,safe,youngest,reg,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_ussen_dur,prim16_party,prim16_pres_dem,prim16_pres_dem_other,prim16_sen_dem,prim16_sen_dem_other,prim16_pres_rep,prim16_pres_rep_other,prim16_sen_rep,prim16_sen_rep_other,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_services,gamble_exp,tax_ret_inc,tax_ret_50K,tax_ret_supp,tax_inc_temp,tax_inc_mil,tax_inc_grad,tax_gas,redist_neutral,redist_commis,cf_judge,cf_judge_pub,term_lim,right2work,budg_affect,budg_imp1,budg_imp2,budge_imp3,budg_imp4,budg_imp5,budg_imp6,budg_imp7,budg_imp_other,budg_child,budg_citycuts,budg_he,budg_infradec,budg_jobloss,budg_locecon,budg_realest,budg_socserv,budg_other,abort_leg,lg_rights,med_mari,mari_rec,vet_courts,miss_diabet,miss_depress,miss_heart,miss_anxiety,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_att_often,relig_type,religion,born_again,vet,vet_fam,zip,age_cat,birth_yr,rac_eth,rac_eth_other,hhinc,Generation
060433,20160219,1,3,1, , ,1,1,2,2,2,2,3,5,4,2,3, , , , , , , , ,5,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,4,1,1,1,9, , , , , , ,The fifth law,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1, , ,2,1,1,1,2,1,3, ,1,2,3,1, ,2,2,1,99999,11,1942,1, ,1,1
003405,20160215,1,2,1, , ,1,1,2,2,2,2,3,5,4,5,4, , , , , , , , ,5,2,2,2,2,3,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,4,1,9, , , , , , ,Less security.,0,0,0,0,0,0,0,0,1,2,4,1,2,2,5, ,5, ,5,3,2,4,2,1,4, ,1,1,1, ,2,5,1,99999,6,1970,7, ,5,3
011628,20160217,1,3,2,1,1, ,1,1,2,2,2,3,2,2,2,4, , , , , , , , ,3,1,1,1,1,1,1,1,2,2,1, ,1,1,2,2,2,1,1,1,4,1,1,1,9, , , , , , ,Bills are not being paid.,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1, ,2, ,6,3,2,9,9,3, ,3,2,4, ,8, ,5,2,99999,14,0,7, ,9,0
001144,20160214,1,3,2,1,1, ,1,2,1,2,2,5,5,2,1,4, , , , , , , , ,3,2,2,1,2,2,2,1,1,2,1, ,1,1,1,1,1,1,1,1,1,2,4,1,5, , , , , , , ,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1, , ,1,6,1,1,3,1,1,3, ,2,2,1, ,2,5,1,99999,9,1954,1, ,6,2
002004,20160215,1,2,1, , ,1,1,1,1,1,1,2,3,9,3,1,1, ,1, , , , , ,3,2,3,2,2,2,2,1,1,1,2,3,2,2,1,1,1,1,1,1,2,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,1,1,1,1, ,2, ,3,2,3,2,1,1,3, ,1,2,5, ,3, ,5,2,99999,12,1938,1, ,2,1
002773,20160216,1,3,2,1,1, ,1,2,1,2,1,2,5,9,2,3, , , , , , , , ,3,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,3,1,1,1,3, , , , , , , ,0,0,1,0,0,0,0,0,0,1,1,1,2,2, ,2, ,2,6,2,1,2,1,2,2, ,2,4, ,1,2,5,2,99999,10,1950,1, ,5,2
003257,20160215,1,3,2,1,1, ,1,2,3,3,3,5,9,9,9,4, , , , , , , , ,4,2,3,2,3,2,2,2,3,2,3, ,3,3,3,3,3,5,3,3,5,3,6,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,4,4,2,3, ,2, ,2,2,6,9,2,1,5, , ,2,4, ,2, ,5,1,99999,14,0,1, ,8,0
006420,20160217,1,2,1, , ,1,1,2,1,3,1,2,1,2,2,4, , , , , , , , ,3,2,2,2,2,2,2,2,2,1,1, ,1,2,2,3,1,2,1,1,2,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,1,2,1, , ,2,7,3,2,4,2,3, ,1,2,3,1, ,2,5,2,99999,13,1934,7, ,1,1
007279,20160215,1,3,2,1,1, ,1,2,2,2,2,2,2,9,9,2, , , , ,6, ,4, ,3,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,4,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,2,1,2,2, ,1,1, ,3,4,3,7,3,3, ,3,1,3,1, ,1,5,2,99999,14,0,1, ,5,0
007436,20160215,1,2,1, , ,1,1,1,1,2,2,3,2,2,1,1,1, ,3, , , , , ,5,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,3,2,4,4,1,1,1,1,3,2, , , , , ,1,1,1,0,0,0,0,0,0,1,1,1,2,1, ,1,1, ,4,3,2,1,1,2,5, ,2,3,1, ,2,5,2,99999,14,0,4, ,3,0
008982,20160215,1,2,1, , ,1,1,2,2,2,2,3,4,4,4,4, , , , , , , , ,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1, , ,1,3,5,9,5,3,4, , ,1,1,1, ,2,5,1,99999,14,0,1, ,4,0
009334,20160216,1,1,2,1,1, ,1,1,1,2,1,1,5,5,1,1,1, ,1, , , , , ,1,2,2,1,2,2,2,1,2,2,2,3,2,3,1,3,3,3,1,2,3,1,3,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,4,1,1,3, ,3,1, ,5,3,2,4,2,3, ,5,2,6, ,1,1,6,2,99999,14,0,7, ,8,0
010422,20160215,1,2,1, , ,1,1,1,3,3,3,5,9,9,9,4, , , , , , , , ,5,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,5,3,5,5,3,5,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,4,4,5,3,3, ,5, ,5,7,6,9,9,9,5, , ,3,6, ,9, ,6,3,99999,14,0,7, ,9,0
011034,20160216,1,1,2,1,1, ,1,1,1,1,1,2,2,2,1,3, , , , , , , , ,1,1,2,1,1,2,1,1,2,2,1, ,1,2,1,1,1,2,1,3,3,1,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2, ,2,2, ,5,4,3,4,2,4, , ,2,6, ,9, ,6,3,99999,14,0,7, ,9,0
012724,20160219,1,2,1, , ,1,1,1,2,2,2,3,2,1,5,2, , , , ,6, ,1, ,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,4,1,1,4,2,1,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,3,4,2,1, ,5, ,2,4,5,9,7,3,3, ,3,2,1,1, ,2,2,2,99999,12,1937,1, ,9,1
013473,20160216,1,1,2,1,1, ,1,1,2,3,3,4,2,2,2,3, , , , , , , , ,2,2,2,2,2,1,2,2,3,1,1, ,1,2,1,2,1,1,1,2,3,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1, ,1, ,2,2,6,9,9,9,4, , ,1,5, ,1,2,5,2,99999,1,1997,4, ,1,4
014949,20160218,1,2,2,1,1, ,1,1,2,2,2,2,3,9,4,4, , , , , , , , ,2,3,3,3,3,3,3,3,3,2,3, ,3,2,3,3,2,3,3,5,5,1,5,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,4,5,3,2, ,5,2, ,7,5,9,9,9,1,3, ,1,1,9, , ,5,2,99999,14,0,1, ,5,0
